Month	,Year	,Temp(C)	,Precipitation(cm)	,Grain Height	,Deer	,Pest attack %
0	,2022	,-17.78	,0.00	,0.00	,1	,0.00
1	,2022	,2.15	,31.60	,6.15	,0	,0.00
2	,2022	,16.40	,28.51	,6.23	,1	,2.00
3	,2022	,21.36	,33.87	,5.24	,2	,4.00
4	,2022	,22.61	,33.63	,3.24	,3	,6.00
5	,2022	,28.20	,20.04	,0.24	,4	,8.00
6	,2022	,23.52	,14.44	,0.00	,3	,4.00
7	,2022	,20.56	,5.33	,0.00	,2	,0.00
8	,2022	,18.92	,0.80	,0.00	,1	,0.00
9	,2022	,15.85	,1.53	,0.00	,0	,0.00
10	,2022	,5.02	,11.72	,6.66	,0	,0.00
11	,2022	,8.81	,10.29	,10.07	,1	,0.00
0	,2023	,8.40	,19.23	,14.17	,2	,4.00
1	,2023	,12.84	,33.11	,13.01	,3	,8.00
2	,2023	,11.17	,37.36	,11.67	,4	,12.00
3	,2023	,23.20	,36.16	,7.67	,5	,14.00
4	,2023	,27.99	,32.24	,2.67	,6	,16.00
5	,2023	,26.79	,26.53	,0.00	,5	,18.00
6	,2023	,21.39	,9.55	,0.00	,4	,14.00
7	,2023	,27.79	,7.10	,0.00	,3	,10.00
8	,2023	,19.53	,0.00	,0.00	,2	,6.00
9	,2023	,17.16	,3.76	,0.00	,1	,2.00
10	,2023	,9.13	,8.21	,1.79	,0	,0.00
11	,2023	,6.27	,18.75	,9.34	,1	,4.00
0	,2024	,6.17	,19.37	,16.06	,2	,8.00
1	,2024	,10.46	,31.08	,16.71	,3	,12.00
2	,2024	,17.86	,36.56	,13.74	,4	,14.00
3	,2024	,21.36	,33.12	,9.74	,5	,16.00
4	,2024	,23.19	,30.37	,4.74	,6	,18.00
5	,2024	,25.69	,26.26	,0.00	,5	,20.00
6	,2024	,25.00	,11.05	,0.00	,4	,16.00
7	,2024	,28.73	,6.80	,0.00	,3	,12.00
8	,2024	,15.68	,0.00	,0.00	,2	,8.00
9	,2024	,10.78	,4.03	,0.00	,1	,4.00
10	,2024	,6.89	,11.79	,4.57	,0	,0.00
11	,2024	,2.99	,13.85	,11.40	,1	,0.00
0	,2025	,3.75	,21.85	,19.09	,2	,0.00
1	,2025	,2.26	,30.35	,24.51	,3	,0.00
2	,2025	,14.74	,33.92	,21.77	,4	,4.00
3	,2025	,19.27	,32.18	,17.78	,5	,6.00
4	,2025	,24.56	,28.16	,12.78	,6	,8.00
5	,2025	,28.44	,19.53	,6.78	,7	,10.00
6	,2025	,27.49	,18.20	,0.00	,6	,12.00
7	,2025	,22.77	,10.77	,0.00	,5	,8.00
8	,2025	,18.77	,6.73	,0.00	,4	,4.00
9	,2025	,12.54	,0.00	,0.00	,3	,0.00
10	,2025	,5.60	,10.00	,2.97	,2	,0.00
11	,2025	,10.25	,12.90	,3.34	,3	,0.00
0	,2026	,6.97	,18.63	,7.15	,4	,4.00
1	,2026	,10.09	,27.76	,6.33	,5	,8.00
2	,2026	,11.51	,32.57	,2.97	,6	,12.00
3	,2026	,22.75	,33.03	,0.00	,5	,14.00
4	,2026	,20.50	,28.98	,0.00	,4	,16.00
5	,2026	,23.32	,24.60	,0.00	,3	,18.00
6	,2026	,29.11	,16.06	,0.00	,2	,14.00
7	,2026	,26.24	,3.00	,0.00	,1	,10.00
8	,2026	,21.31	,4.51	,0.00	,0	,6.00
9	,2026	,15.30	,2.67	,0.09	,0	,2.00
10	,2026	,6.49	,7.28	,4.82	,1	,0.00
11	,2026	,4.22	,16.61	,11.79	,2	,0.00
0	,2027	,0.60	,26.44	,15.35	,3	,0.00
1	,2027	,2.97	,29.26	,20.54	,4	,0.00
2	,2027	,9.66	,32.84	,19.96	,5	,4.00
3	,2027	,17.11	,34.64	,15.01	,6	,6.00
4	,2027	,20.70	,31.20	,9.01	,7	,8.00
5	,2027	,27.02	,23.79	,2.01	,8	,10.00
6	,2027	,30.95	,17.99	,0.00	,7	,12.00
7	,2027	,27.35	,2.97	,0.00	,6	,8.00
8	,2027	,23.91	,0.00	,0.00	,5	,4.00
9	,2027	,10.54	,3.26	,0.00	,4	,0.00
10	,2027	,9.54	,6.54	,0.00	,3	,0.00
11	,2027	,3.08	,16.01	,4.39	,2	,0.00
