NumberofTrials,Blocksize,MegaTrials/Second,Probability,,,,,,,,,,,,,,,,,,
1024,8,11.865,22.66%,,,,,,,,,,,,,,,,,,
1024,32,12.7796,23.44%,,,,,,,Sum of MegaTrials/Second,Column Labels,,,,,,,,,,
1024,128,10.0534,20.61%,,,,,,,Row Labels,1024,4096,16384,65536,262144,1048576,2097152,4194304,8388608,16777216,Grand Total
4096,8,33.4029,20.21%,,,,,,,8,11.865,33.4029,139.6999,442.8108,797.275,972.6328,1046.8842,1095.7915,1089.0721,1143.0365,6772.4707
4096,32,52.3946,22.58%,,,,,,,32,12.7796,52.3946,185.3058,664.7193,1543.9126,537.4623,3144.1183,3761.141,3940.8891,4220.7768,18063.4994
4096,128,35.8543,22.56%,,,,,,,128,10.0534,35.8543,167.375,580.3344,1352.2615,3715.6141,4936.7984,6017.9984,7323.8904,7886.4015,32026.5814
16384,8,139.6999,22.53%,,,,,,,Grand Total,34.698,121.6518,492.3807,1687.8645,3693.4491,5225.7092,9127.8009,10874.9309,12353.8516,13250.2148,56862.5515
16384,32,185.3058,22.15%,,,,,,,,,,,,,,,,,,
16384,128,167.375,22.17%,,,,,,,,,,,,,,,,,,
65536,8,442.8108,22.56%,,,,,,,,,,,,,,,,,,
65536,32,664.7193,22.60%,,,,,,,,,,,,,,,,,,
65536,128,580.3344,22.56%,,,,,,,,,,,,,,,,,,
262144,8,797.275,22.54%,,,,1024,4096,16384,65536,262144,1048576,2097152,4194304,8388608,16777216,,,,,
262144,32,1543.9126,22.55%,,,8,11.865,33.4029,139.6999,442.8108,797.275,972.6328,1046.8842,1095.7915,1089.0721,1143.0365,,,,,
262144,128,1352.2615,22.46%,,,32,12.7796,52.3946,185.3058,664.7193,1543.9126,2637.4623,3144.1183,3761.141,3940.8891,4220.7768,,,,,
1048576,8,972.6328,22.56%,,,128,10.0534,35.8543,167.375,580.3344,1352.2615,3715.6141,4936.7984,6017.9984,7323.8904,7886.4015,,,,,
1048576,32,537.4623,22.59%,,,,,,,,,,,,,,,,,,
1048576,128,3715.6141,22.56%,,,,,,,,,,,,,,,,,,
2097152,8,1046.8842,22.50%,,,,,,,,,,,,,,,,,,
2097152,32,3144.1183,22.48%,,,,,,,,,,,,,,,,,,
2097152,128,4936.7984,22.53%,,,,,,,,,,,,,,,,,,
4194304,8,1095.7915,22.46%,,,,,,,,,,,,,,,,,,
4194304,32,3761.141,22.50%,,,,,,,,,,,,,,,,,,
4194304,128,6017.9984,22.48%,,,,,,,,,,,,,,,,,,
8388608,8,1089.0721,22.51%,,,,,,,,,,,,,,,,,,
8388608,32,3940.8891,22.51%,,,,,,,,,,,,,,,,,,
8388608,128,7323.8904,22.52%,,,,,,,,,,,,,,,,,,
16777216,8,1143.0365,22.48%,,,,,,,,,,,,,,,,,,
16777216,32,4220.7768,22.51%,,,,,,,,,,,,,,,,,,
16777216,128,7886.4015,22.51%,,,,,,,,,,,,,,,,,,
